Date,Open,High,Low,Close,Adj Close,Volume
02-12-2014,1346.5,1355.474976,1324.675049,1328.650024,1166.393677,1436572
03-12-2014,1335.949951,1336.699951,1309.25,1317.675049,1156.759155,3094670
04-12-2014,1332,1333.5,1314.949951,1318.974976,1157.899902,1285308
05-12-2014,1320.449951,1324.900024,1286.074951,1289.474976,1132.002686,2359676
08-12-2014,1297.5,1297.5,1250.824951,1256.400024,1102.967163,3232574
09-12-2014,1258,1279.5,1254.550049,1257.425049,1103.866577,2487940
10-12-2014,1257.5,1265.949951,1248.099976,1253.949951,1100.815918,2087970
11-12-2014,1250.300049,1261.449951,1243.5,1246.074951,1093.902832,1938822
12-12-2014,1250,1260,1211.324951,1225.349976,1075.70874,2380786
15-12-2014,1192.449951,1192.5,1176.125,1179.324951,1035.304199,3487788
16-12-2014,1175,1229.625,1172.5,1221.525024,1072.35083,3339140
17-12-2014,1226.699951,1235,1202.625,1222.050049,1072.81189,2287076
18-12-2014,1227.550049,1234.25,1217.400024,1230.349976,1080.098022,1481444
19-12-2014,1235.650024,1261.875,1234,1255.275024,1101.97937,1903130
22-12-2014,1263,1264.5,1237.199951,1256.699951,1103.230103,1643954
23-12-2014,1250,1268.324951,1247.300049,1258.349976,1104.678711,1266476
24-12-2014,1257.5,1260.425049,1232.824951,1239.949951,1088.526001,3288972
26-12-2014,1243,1255,1232.5,1252.5,1099.543335,626206
29-12-2014,1254,1268.474976,1253.5,1261.449951,1107.400391,778920
30-12-2014,1262.5,1271.224976,1258,1265.025024,1110.538574,701342
31-12-2014,1266.349976,1283.199951,1262.5,1279.125,1122.916992,1573792
01-01-2015,1283.5,1283.5,1270.5,1272.775024,1117.341919,366830
02-01-2015,1275.5,1295.474976,1275.300049,1289.724976,1132.222168,925740
05-01-2015,1290.5,1299.949951,1262.324951,1270.125,1115.015869,1754242
06-01-2015,1264.550049,1264.550049,1220,1223.300049,1073.909058,2423784
07-01-2015,1235,1239.574951,1203.724976,1208.849976,1061.223511,2636332
08-01-2015,1221.199951,1224.5,1210.275024,1221.900024,1072.680054,1565408
09-01-2015,1227.5,1259.949951,1225,1256.150024,1102.747314,3197642
12-01-2015,1258.5,1264,1240.125,1254.849976,1101.606445,1596006
13-01-2015,1260,1265.199951,1240.050049,1248.949951,1096.426636,1468432
14-01-2015,1258,1265.900024,1250.25,1260.974976,1106.983276,1787096
15-01-2015,1266.5,1290.875,1261.625,1269.550049,1114.51123,5009920
16-01-2015,1271.849976,1272.5,1242.150024,1266.074951,1111.460327,5293830
19-01-2015,1268,1275.5,1251.5,1255.5,1102.17688,1135074
20-01-2015,1260,1265,1241.625,1250.224976,1097.545898,2058566
21-01-2015,1261,1261,1244.125,1256.900024,1103.406006,2310480
22-01-2015,1258.25,1260.625,1247.75,1256.775024,1103.296143,2113214
23-01-2015,1257,1266.025024,1248.050049,1251.800049,1098.928955,3150380
27-01-2015,1256.175049,1257.5,1244.775024,1251.025024,1100.446167,2738736
28-01-2015,1251.5,1272.449951,1251.449951,1269.800049,1116.961182,3121980
29-01-2015,1269,1284.349976,1256.449951,1272.324951,1119.182251,3734392
30-01-2015,1280.349976,1287.5,1235,1241.025024,1091.649536,5817402
02-02-2015,1241,1260.724976,1231.025024,1257.099976,1105.789917,3181802
03-02-2015,1255.824951,1282.5,1253.550049,1279.125,1125.16394,2345054
04-02-2015,1284,1285.849976,1251.050049,1257.150024,1105.833862,2245418
05-02-2015,1260,1295.849976,1259.5,1276.199951,1122.59082,4530168
06-02-2015,1276.5,1297.400024,1275.425049,1287.875,1132.860596,2136416
09-02-2015,1280.75,1284.550049,1250,1256.449951,1105.218018,2076432
10-02-2015,1255,1263.125,1216.5,1220.574951,1073.660889,3799054
11-02-2015,1227.525024,1243.625,1223.625,1229.949951,1081.907715,2937522
12-02-2015,1239.900024,1239.900024,1223.5,1231.074951,1082.897217,3107980
13-02-2015,1235,1273.875,1230.125,1269.375,1116.587524,4158326
16-02-2015,1280,1297.5,1277.5,1292.400024,1136.841187,2364392
18-02-2015,1292.525024,1321.5,1282.625,1317.824951,1159.205688,2660014
19-02-2015,1318,1343.650024,1317.5,1340.525024,1179.173462,2618002
20-02-2015,1349.400024,1349.400024,1321.125,1337.775024,1176.754272,1801588
23-02-2015,1335.5,1361,1335.5,1348.324951,1186.034546,1614892
24-02-2015,1347,1365,1339.5,1352.375,1189.597168,2199922
25-02-2015,1355,1361,1333.925049,1336.099976,1175.28125,1767994
26-02-2015,1339.5,1346.375,1312.675049,1328.224976,1168.354126,1991994
27-02-2015,1329.724976,1337.875,1308.150024,1331.175049,1170.948853,2877376
28-02-2015,null,null,null,null,null,null
02-03-2015,1339.849976,1354.474976,1326.275024,1334.699951,1174.049683,2176038
03-03-2015,1341,1395,1338.074951,1388,1220.934204,3424308
04-03-2015,1394,1406.050049,1357.824951,1373,1207.739502,3862994
05-03-2015,1375,1385.349976,1340.525024,1348.224976,1185.946533,2173514
09-03-2015,1320,1339.900024,1305,1323.400024,1164.109497,2883174
10-03-2015,1324.449951,1339.125,1297.625,1321.349976,1162.306274,3037052
11-03-2015,1321,1329.974976,1298.900024,1303.275024,1146.406738,2240200
12-03-2015,1311.949951,1312.449951,1295.050049,1309.525024,1151.904785,1827636
13-03-2015,1319,1319.974976,1287.5,1291.175049,1135.76355,1586838
16-03-2015,1292.599976,1305,1276,1281.150024,1126.944824,1556296
17-03-2015,1291.25,1303.349976,1278.875,1291.849976,1136.357178,1267318
18-03-2015,1295.474976,1299.724976,1275.849976,1279.675049,1125.647827,1255170
19-03-2015,1288,1302.925049,1284.050049,1298.125,1141.876831,2448964
20-03-2015,1298,1309,1289.425049,1305.474976,1148.342285,1963908
23-03-2015,1308,1315.5,1303,1308.574951,1151.069092,1566608
24-03-2015,1315,1318.5,1291.050049,1295.650024,1139.700073,2394878
25-03-2015,1295.699951,1307,1272.599976,1286.875,1131.980835,2224858
26-03-2015,1276.650024,1293.349976,1250.5,1256.550049,1105.305786,3091642
27-03-2015,1265.5,1285.949951,1252.050049,1257.400024,1106.053955,2751776
30-03-2015,1262.5,1284.949951,1260,1282.074951,1127.758789,1339006
31-03-2015,1284.724976,1284.724976,1260.5,1276.974976,1123.272705,2427028
01-04-2015,1279,1281.800049,1261.125,1271.324951,1118.302856,2075758
06-04-2015,1279,1281.449951,1250.050049,1273.650024,1120.347656,1568542
07-04-2015,1281.224976,1299.5,1272,1292.5,1136.928833,1886922
08-04-2015,1297,1328.25,1295.425049,1320.699951,1161.734497,1652134
09-04-2015,1329.5,1343.724976,1317.574951,1332.275024,1171.916382,2544450
10-04-2015,1324.25,1335.400024,1314,1326.875,1167.166504,1815544
13-04-2015,1332,1332.5,1314,1327.75,1167.936035,1308642
15-04-2015,1327.349976,1356.949951,1304.699951,1313.875,1155.731079,2913934
16-04-2015,1313.474976,1313.5,1285.675049,1291.400024,1135.961426,3217570
17-04-2015,1278.550049,1280,1235,1237.425049,1088.483154,9668742
20-04-2015,1240.025024,1241.949951,1212.425049,1214.400024,1068.229614,2890722
21-04-2015,1214.400024,1226,1200.5,1213.525024,1067.459717,2546032
22-04-2015,1215.75,1236.5,1203.775024,1222.550049,1075.398315,4186812
23-04-2015,1236,1239.900024,1215.849976,1228.625,1080.742432,4342990
24-04-2015,1227.650024,1257,1223.775024,1246.525024,1096.487549,3625158
27-04-2015,1249.75,1260,1243,1250.099976,1099.63208,2733052
28-04-2015,1255,1255,1227.550049,1247.5,1097.345459,3088298
